session_id,saccade_frame_xy,saccade_index_xy
session_01,127,3
session_01,138,15
session_01,145,24
session_01,162,33
session_01,216,44
session_01,261,53
session_01,401,81
session_01,411,83
session_01,456,92
session_01,501,101
session_01,516,104
session_01,556,112
session_01,611,123
session_01,652,131
session_01,671,135
session_01,681,137
session_01,721,145
session_01,781,157
session_01,811,163
session_01,851,171
session_01,886,178
session_01,921,185
session_01,956,192
session_01,1011,203
session_01,1061,213
session_01,1091,219
session_01,1146,230
session_01,1221,245
session_01,1246,251
session_01,1252,260
session_01,1262,264
session_01,1312,274
session_01,1362,284
session_01,1412,294
session_01,1427,297
session_01,1467,305
session_01,1502,312
session_01,1602,332
session_01,1617,335
session_01,1667,345
session_01,1687,349
session_01,1742,360
session_01,1783,368
session_01,1807,373
session_01,1857,383
session_01,1878,387
session_01,1913,394
session_01,1972,406
session_01,2007,413
session_01,2045,429
session_01,2061,432
session_01,2100,440
session_01,2145,449
session_01,2180,456
session_01,2235,467
session_01,2270,474
session_01,2375,495
session_01,2405,501
session_01,2481,516
session_01,2555,531
session_01,2585,537
session_01,2610,542
session_01,2655,551
session_01,2671,554
session_01,2750,570
session_01,2775,575
session_01,2866,593
session_01,2885,597
session_01,2926,605
session_01,2980,616
session_01,3010,622
session_01,3050,630
session_01,3150,650
session_01,3160,652
session_01,3200,660
session_01,3206,661
session_01,3265,673
session_01,3310,682
session_01,3340,688
session_01,3415,703
session_01,3430,706
session_01,3460,714
session_01,3524,727
session_01,3534,729
session_01,3579,738
session_01,3674,758
session_01,3698,763
session_01,3727,769
session_01,3767,777
session_01,3817,787
session_01,3882,800
session_01,3941,813
session_01,3971,819
session_01,4012,827
session_01,4021,829
session_01,4052,835
session_01,4056,836
session_01,4086,842
session_01,4131,851
session_01,4186,862
session_01,4202,865
session_01,4241,873
session_01,4301,885
session_01,4341,893
session_01,4377,900
session_01,4426,910
session_01,4501,925
session_01,4572,939
session_01,4601,945
session_01,4641,953
session_01,4666,958
session_01,4707,966
session_01,4711,967
session_01,4741,973
session_01,4836,992
session_01,4886,1002
session_01,4921,1009
session_01,4966,1018
session_01,5041,1033
session_01,5081,1041
session_01,5156,1056
session_01,5171,1059
session_01,5226,1070
session_01,5242,1073
session_01,5281,1081
session_01,5306,1086
session_01,5371,1099
session_01,5391,1103
session_01,5466,1118
session_01,5491,1123
session_01,5526,1130
session_01,5557,1136
session_01,5561,1137
session_01,5591,1143
session_01,5626,1150
session_01,5656,1156
session_01,5716,1168
session_01,5756,1176
session_01,5796,1184
session_01,5926,1210
session_01,5942,1213
session_01,5981,1221
session_01,6006,1226
session_01,6037,1232
session_01,6096,1244
session_01,6126,1250
session_01,6161,1259
session_01,6216,1270
session_01,6236,1274
session_01,6306,1288
session_01,6341,1295
session_01,6391,1305
session_01,6561,1339
session_01,6591,1345
session_01,6671,1361
session_01,6704,1369
session_01,6744,1377
session_01,6814,1391
session_01,6854,1399
session_01,6919,1412
session_01,6949,1418
session_01,7034,1435
session_01,7054,1440
session_01,7064,1442
session_01,7179,1465
session_01,7219,1473
session_01,7259,1481
session_01,7289,1487
session_01,7319,1493
session_01,7324,1494
session_01,7350,1499
session_01,7389,1507
session_01,7424,1514
session_01,7469,1523
session_01,7499,1529
session_01,7560,1541
session_01,7604,1550
session_01,7635,1556
session_01,7639,1557
session_01,7649,1559
session_01,7669,1563
session_01,7724,1574
session_01,7785,1586
session_01,7789,1587
session_01,7814,1592
session_01,7854,1600
session_01,7949,1619
session_01,7984,1626
session_01,8024,1634
session_01,8039,1637
session_01,8084,1646
session_01,8124,1654
session_01,8165,1662
session_01,8275,1684
session_01,8349,1699
session_01,8409,1711
session_01,8469,1723
session_01,8505,1730
session_01,8534,1736
session_01,8599,1749
session_01,8638,1757
session_01,8781,1788
session_01,8796,1790
session_01,8821,1796
session_01,8872,1806
session_01,8877,1807
session_01,8891,1810
session_01,8971,1826
session_01,8976,1827
session_01,8986,1829
session_01,9061,1844
session_01,9101,1852
session_01,9201,1872
session_01,9246,1881
session_01,9277,1887
session_01,9312,1894
session_01,9362,1904
session_01,9400,1912
session_01,9445,1921
session_01,9460,1924
session_01,9530,1938
session_01,9561,1944
session_01,9569,1946
session_01,9619,1956
session_01,9624,1957
session_01,9634,1959
session_01,9814,1995
session_01,9864,2005
session_01,9909,2014
session_01,9944,2021
session_01,9990,2030
session_01,10004,2033
session_01,10059,2044
session_01,10099,2052
session_01,10104,2053
session_01,10119,2056
session_01,10204,2073
session_01,10216,2076
session_01,10240,2081
session_01,10280,2089
session_01,10311,2095
session_01,10351,2103
session_01,10360,2105
session_01,10420,2117
session_01,10441,2120
session_01,10465,2126
session_01,10525,2138
session_01,10545,2142
session_01,10570,2147
session_01,10665,2165
session_01,10690,2172
session_01,10735,2181
session_01,10741,2182
session_01,10755,2185
session_01,10800,2194
session_01,10810,2196
session_01,10815,2197
session_01,10850,2204
session_01,10910,2216
session_01,10955,2225
session_01,10985,2231
session_01,11030,2240
session_01,11061,2246
session_01,11090,2252
session_01,11150,2264
session_01,11165,2267
session_01,11195,2273
session_01,11245,2283
session_01,11255,2285
session_01,11280,2290
session_01,11285,2291
session_01,11340,2302
session_01,11380,2310
session_01,11445,2323
session_01,11554,2347
session_01,11589,2354
session_01,11609,2358
session_01,11664,2369
session_01,11684,2373
session_01,11689,2374
session_01,11724,2381
session_01,11744,2385
session_01,11779,2392
session_01,11829,2402
session_01,11879,2412
session_01,11899,2416
session_01,12009,2438
session_01,12034,2443
session_01,12069,2450
session_01,12114,2459
session_01,12144,2465
session_01,12229,2482
session_01,12255,2488
session_01,12300,2497
session_01,12325,2502
session_01,12380,2513
session_01,12451,2527
session_01,12485,2534
session_01,12550,2547
session_01,12585,2554
session_01,12640,2565
session_01,12740,2585
session_01,12770,2591
session_01,12831,2603
session_01,12865,2610
session_01,12906,2618
session_01,12940,2625
session_01,12965,2630
session_01,13025,2642
session_01,13060,2649
session_01,13087,2657
session_01,13132,2666
session_01,13267,2693
session_01,13318,2703
session_01,13348,2709
session_01,13437,2727
session_01,13512,2742
session_01,13537,2747
session_01,13598,2759
session_01,13622,2764
session_01,13648,2770
session_01,13658,2772
session_01,13713,2783
session_01,13783,2797
session_01,13800,2800
session_01,13818,2804
session_01,13863,2813
session_01,13883,2817
session_01,14029,2846
session_01,14083,2857
session_01,14114,2863
session_01,14153,2871
session_01,14158,2872
session_01,14228,2886
session_01,14274,2895
session_01,14293,2899
session_01,14328,2906
session_01,14514,2943
session_01,14523,2945
session_01,14529,2946
session_01,14573,2955
session_01,14589,2958
session_01,14629,2966
session_01,14673,2975
session_01,14723,2985
session_01,14759,2992
session_01,14813,3003
session_01,14863,3013
session_01,14958,3032
session_01,14968,3034
session_01,15000,3042
session_01,15001,3044
session_01,15088,3063
session_01,15188,3083
session_01,15243,3094
session_01,15354,3116
session_01,15403,3126
session_01,15449,3135
session_01,15483,3142
session_01,15518,3149
session_01,15553,3156
session_01,15598,3165
session_01,15678,3181
session_01,15688,3183
session_01,15712,3190
session_01,15767,3201
session_01,15812,3210
session_01,15842,3216
session_01,15947,3237
session_01,15967,3241
session_01,16002,3248
session_01,16022,3252
session_01,16107,3269
session_01,16117,3271
session_01,16167,3281
session_01,16202,3288
session_01,16232,3294
session_01,16277,3303
session_01,16342,3316
session_01,16382,3324
session_01,16427,3333
session_01,16447,3337
session_01,16497,3347
session_01,16517,3351
